id,order_id,product_id,quantity,unit_price
1,1,212,4,93.75
2,2,200,12,54.69
3,3,363,7,27.74
4,4,466,11,79.97
5,5,488,8,25.79
6,6,293,11,53.29
7,7,2,5,31.89
8,8,629,4,75.40
9,9,139,5,37.91
10,10,305,1,61.94
11,11,361,15,71.15
12,12,137,3,65.14
13,13,354,12,40.99
14,14,606,11,26.84
15,15,467,3,37.55
16,16,518,9,9.05
17,17,440,6,86.21
18,18,642,7,1.28
19,19,392,11,7.19
20,20,34,14,45.02
21,21,493,1,69.30
22,22,110,5,81.14
23,23,573,3,37.77
24,24,284,1,8.06
25,25,450,12,67.85
26,26,646,3,43.54
27,27,383,13,31.61
28,28,724,1,50.49
29,29,222,3,87.18
30,30,438,12,21.90
31,31,21,10,60.12
32,32,290,1,46.45
33,33,639,5,2.27
34,34,73,5,30.13
35,35,699,5,14.66
36,36,274,9,51.42
37,37,25,7,97.41
38,38,50,9,47.01
39,39,176,6,3.54
40,40,731,13,14.19
41,41,124,13,74.82
42,42,679,14,61.32
43,43,23,3,72.21
44,44,326,10,52.55
45,45,63,4,49.60
46,46,83,2,81.56
47,47,226,4,44.16
48,48,132,10,22.76
49,49,732,15,78.30
50,50,262,6,32.01
51,51,613,11,76.57
52,52,31,8,60.36
53,53,565,1,22.78
54,54,483,5,45.45
55,55,718,3,32.32
56,56,641,7,11.44
57,57,301,11,55.52
58,58,331,5,36.60
59,59,750,2,75.13
60,60,509,7,30.23
61,61,293,9,53.29
62,62,686,3,75.69
63,63,302,5,87.79
64,64,202,10,85.16
65,65,102,10,29.94
66,66,656,15,19.82
67,67,721,14,71.92
68,68,137,10,65.14
69,69,21,13,60.12
70,70,443,13,32.75
71,71,651,13,63.42
72,72,427,9,39.14
73,73,179,7,18.52
74,74,366,15,53.78
75,75,543,1,71.12
76,76,116,11,31.30
77,77,452,12,60.59
78,78,411,6,62.92
79,79,699,9,14.66
80,80,12,6,49.63
81,81,211,10,96.20
82,82,268,6,59.82
83,83,706,12,81.43
84,84,475,2,97.03
85,85,259,9,40.68
86,86,620,8,46.75
87,87,72,6,51.41
88,88,749,11,99.67
89,89,531,14,12.54
90,90,404,13,63.09
91,91,429,11,45.10
92,92,180,6,36.51
93,93,362,4,54.60
94,94,522,1,54.16
95,95,21,12,60.12
96,96,38,1,4.52
97,97,127,6,34.47
98,98,520,15,84.50
99,99,720,7,58.95
100,100,541,9,6.95
101,101,543,5,71.12
102,102,340,15,75.70
103,103,70,13,35.21
104,104,82,13,16.96
105,105,197,1,69.23
106,106,741,9,44.48
107,107,112,15,3.68
108,108,585,8,81.05
109,109,339,11,90.65
110,110,691,9,22.89
111,111,188,11,39.54
112,112,367,3,44.50
113,113,521,8,81.09
114,114,4,14,35.37
115,115,707,10,96.44
116,116,520,5,84.50
117,117,479,4,45.62
118,118,84,4,60.12
119,119,485,8,72.84
120,120,671,10,41.99
121,121,399,8,55.91
122,122,731,3,14.19
123,123,208,2,9.29
124,124,347,15,57.36
125,125,362,2,54.60
126,126,18,7,92.90
127,127,505,4,66.23
128,128,218,1,25.77
129,129,325,1,36.17
130,130,221,4,39.25
131,131,128,1,17.19
132,132,729,7,28.63
133,133,258,15,76.76
134,134,602,8,26.66
135,135,737,4,16.42
136,136,378,9,83.19
137,137,428,15,85.37
138,138,258,7,76.76
139,139,3,6,66.71
140,140,742,7,19.86
141,141,702,7,45.25
142,142,530,13,37.58
143,143,547,11,53.99
144,144,392,2,7.19
145,145,321,11,50.26
146,146,427,2,39.14
147,147,424,15,91.88
148,148,85,3,88.08
149,149,653,2,71.73
150,150,10,2,18.75
151,151,341,7,73.19
152,152,172,3,68.30
153,153,588,12,3.47
154,154,175,4,17.86
155,155,611,5,71.52
156,156,278,5,29.30
157,157,307,4,83.13
158,158,699,11,14.66
159,159,326,14,52.55
160,160,280,14,65.21
161,161,424,7,91.88
162,162,526,4,74.03
163,163,611,13,71.52
164,164,725,5,59.73
165,165,293,6,53.29
166,166,37,10,10.07
167,167,56,15,86.50
168,168,168,15,75.33
169,169,672,13,53.64
170,170,604,5,46.55
171,171,255,13,79.94
172,172,212,1,93.75
173,173,296,5,33.43
174,174,93,2,60.18
175,175,328,10,84.65
176,176,609,10,30.02
177,177,560,8,99.13
178,178,225,2,48.67
179,179,192,12,20.43
180,180,284,13,8.06
181,181,95,3,23.48
182,182,371,6,15.31
183,183,72,5,51.41
184,184,744,8,8.24
185,185,506,14,64.43
186,186,296,5,33.43
187,187,713,1,89.85
188,188,425,4,73.02
189,189,737,8,16.42
190,190,161,4,56.65
191,191,91,3,61.97
192,192,720,11,58.95
193,193,329,3,96.43
194,194,233,12,46.12
195,195,180,1,36.51
196,196,198,10,41.56
197,197,450,7,67.85
198,198,158,15,61.60
199,199,186,4,96.57
200,200,459,14,71.07
201,201,234,14,65.82
202,202,544,13,65.66
203,203,515,2,60.47
204,204,193,1,6.98
205,205,172,11,68.30
206,206,278,2,29.30
207,207,124,10,74.82
208,208,534,10,71.12
209,209,49,15,55.95
210,210,141,2,60.20
211,211,560,7,99.13
212,212,124,14,74.82
213,213,440,1,86.21
214,214,329,5,96.43
215,215,326,10,52.55
216,216,640,7,93.32
217,217,723,12,25.62
218,218,192,6,20.43
219,219,293,10,53.29
220,220,138,3,34.46
221,221,559,10,78.18
222,222,133,13,54.27
223,223,485,13,72.84
224,224,525,8,78.65
225,225,422,7,35.49
226,226,534,11,71.12
227,227,655,11,97.88
228,228,170,13,40.96
229,229,384,9,61.75
230,230,659,12,10.47
231,231,646,14,43.54
232,232,499,3,65.31
233,233,559,3,78.18
234,234,545,9,33.16
235,235,298,6,38.62
236,236,606,12,26.84
237,237,635,9,5.01
238,238,606,13,26.84
239,239,374,5,16.70
240,240,51,14,8.70
241,241,632,5,24.62
242,242,9,1,95.53
243,243,399,15,55.91
244,244,465,9,10.60
245,245,379,8,70.10
246,246,499,6,65.31
247,247,609,12,30.02
248,248,48,6,48.52
249,249,662,1,67.42
250,250,167,1,1.47
251,251,347,2,57.36
252,252,484,14,95.82
253,253,629,14,75.40
254,254,191,5,33.52
255,255,568,7,38.71
256,256,18,4,92.90
257,257,632,14,24.62
258,258,109,14,72.34
259,259,148,11,93.81
260,260,413,12,44.27
261,261,120,12,5.00
262,262,112,10,3.68
263,263,198,4,41.56
264,264,653,15,71.73
265,265,422,10,35.49
266,266,150,1,80.57
267,267,232,11,92.25
268,268,712,6,90.10
269,269,611,1,71.52
270,270,168,14,75.33
271,271,510,9,7.04
272,272,542,11,18.91
273,273,429,15,45.10
274,274,521,6,81.09
275,275,567,12,63.94
276,276,521,1,81.09
277,277,154,4,64.06
278,278,708,3,62.51
279,279,76,14,12.71
280,280,505,4,66.23
281,281,45,9,23.40
282,282,213,9,72.03
283,283,178,6,73.85
284,284,251,10,69.13
285,285,719,3,79.79
286,286,594,9,72.54
287,287,62,10,4.99
288,288,25,1,97.41
289,289,690,12,63.50
290,290,375,12,24.03
291,291,554,1,42.86
292,292,145,4,45.38
293,293,564,8,47.69
294,294,134,3,53.04
295,295,476,10,34.93
296,296,476,8,34.93
297,297,204,3,65.71
298,298,342,12,41.70
299,299,348,14,69.51
300,300,715,5,41.79
301,301,277,5,86.68
302,302,742,6,19.86
303,303,628,7,70.20
