product_id,name,quantity_in_stock,unit_price
1,"TOMATO CHARLIE+LOLA COASTER SET",4,98.05
2,"CHARLIE & LOLA WASTEPAPER BIN FLORA",149,31.89
3,"RED CHARLIE+LOLA PERSONAL DOORSIGN",137,66.71
4,"GIRLY PINK TOOL SET",104,35.37
5,"YELLOW BREAKFAST CUP AND SAUCER",82,14.80
6,"PHOTO CLIP LINE",134,82.11
7,"BLUE OWL SOFT TOY",75,53.00
8,"APPLE GREEN JUMPER",145,40.41
9,"FRIDGE MAGNETS US DINER ASSORTED",81,95.53
10,"SET OF 3 GOLD FLYING DUCKS",97,18.75
11,"RUSTIC  SEVENTEEN DRAWER SIDEBOARD",143,93.78
12,"PARTY CONES CARNIVAL ASSORTED",81,49.63
13,"BOUDOIR SQUARE TISSUE BOX",118,48.21
14,"LAVENDER INCENSE IN TIN",117,37.54
15,"SILVER LOOKING MIRROR",7,48.23
16,"SNOWFLAKE PORTABLE TABLE LIGHT",128,34.77
17,"PINK OVAL JEWELLED MIRROR",67,29.94
18,"SET OF 6 GIRLS CELEBRATION CANDLES",79,92.90
19,"NATURAL SLATE RECTANGLE CHALKBOARD",39,45.11
20,"PENS ASSORTED FUNNY FACE",90,35.55
21,"WRAP COWBOYS",55,60.12
22,"CARD BIRTHDAY COWBOY",115,45.79
23,"CLEAR ACRYLIC FACETED BANGLE",148,72.21
24,"FLOWERS  STICKERS",11,30.86
25,"PINK B'FLY C/COVER W BOBBLES",94,97.41
26,"BOOM BOX SPEAKER GIRLS",1,77.15
27,"6 RIBBONS SHIMMERING PINKS",36,17.81
28,"5 STRAND GLASS NECKLACE CRYSTAL",138,56.51
29,"PAINTED METAL STAR WITH HOLLY BELLS",58,63.67
30,"12 DAISY PEGS IN WOOD BOX",44,52.34
31,"FOLDING UMBRELLA CREAM POLKADOT",15,60.36
32,"TURQUOISE CHRISTMAS TREE",74,4.78
33,"MAGIC DRAWING SLATE GO TO THE FAIR",66,19.27
34,"CERAMIC STRAWBERRY MONEY BOX",120,45.02
35,"RETROSPOT BABUSHKA DOORSTOP",62,70.73
36,"SWEETHEART WIRE WALL TIDY",144,44.66
37,"NAMASTE SWAGAT INCENSE",42,10.07
38,"4 IVORY DINNER CANDLES SILVER FLOCK",100,4.52
39,"CHRYSANTHEMUM NOTEBOOK",146,87.63
40,"SMALL CHINESE STYLE SCISSOR",7,69.36
41,"BLUE NEW BAROQUE CANDLESTICK CANDLE",18,73.33
42,"HYACINTH BULB T-LIGHT CANDLES",15,90.71
43,"BLACK SWEETHEART BRACELET",52,40.27
44,"DIAMANTE HAIR GRIP PACK/2 BLACK DIA",139,22.43
45,"DIAMANTE HAIR GRIP PACK/2 RUBY",8,23.40
46,"DIAMANTE HAIR GRIP PACK/2 MONTANA",21,98.41
47,"CHRISTMAS TREE T-LIGHT HOLDER",89,83.99
